iter	RMSE
0	98.21890358
1	89.3777654
2	81.43083519
3	74.0492701
4	67.35507974
5	61.5607541
6	55.94431603
7	50.82554109
8	46.55297633
9	42.37243403
10	38.73271853
11	35.35254443
12	32.28848175
13	29.5349701
14	26.98717307
15	24.76604736
16	22.68031472
17	20.81817037
18	19.12417095
19	17.68754556
20	16.36537817
21	15.16351113
22	14.06124748
23	13.03556176
24	12.17049115
25	11.32433437
26	10.62965706
27	9.971476019
28	9.407322318
29	8.925375198
30	8.46188548
31	8.029374293
32	7.670734885
33	7.334391438
34	7.033866268
35	6.774844612
36	6.549379492
37	6.362275132
38	6.180330277
39	6.031286092
40	5.895645025
41	5.764602089
42	5.651995585
43	5.556455607
44	5.456660996
45	5.377531433
46	5.311833084
47	5.229189603
48	5.170818255
49	5.109001465
50	5.043140256
51	4.984022591
52	4.928003265
53	4.877452202
54	4.823520336
55	4.772942171
56	4.740761981
57	4.68052162
58	4.647894198
59	4.598416361
60	4.570409125
61	4.529809244
62	4.486449506
63	4.4549963
64	4.413725085
65	4.387498974
66	4.361352033
67	4.338774781
68	4.308102515
69	4.278117326
70	4.250736297
71	4.244621868
72	4.224441487
73	4.206223665
74	4.197897177
75	4.154176748
76	4.149617719
77	4.14221595
78	4.093662101
79	4.065752391
80	4.046038128
81	4.027157684
82	3.993520904
83	3.984980849
84	3.964531829
85	3.956621098
86	3.948888575
87	3.929897557
88	3.914949683
89	3.900868083
90	3.874335539
91	3.85746557
92	3.851140501
93	3.818446099
94	3.80074575
95	3.788194366
96	3.751475357
97	3.748686132
98	3.70620235
99	3.694328537
