iter	Passed	Remaining
0	212	211803
1	213	106616
2	215	71470
3	216	53990
4	218	43419
5	219	36337
6	220	31327
7	222	27557
8	223	24617
9	224	22252
10	226	20342
11	227	18732
12	229	17388
13	230	16238
14	231	15222
15	233	14337
16	234	13556
17	235	12854
18	236	12224
19	238	11666
20	239	11158
21	240	10692
22	241	10269
23	243	9882
24	244	9525
25	245	9204
26	246	8898
27	248	8615
28	249	8354
29	250	8109
30	252	7878
31	253	7663
32	254	7459
33	255	7264
34	256	7084
35	258	6915
36	259	6752
37	260	6601
38	262	6456
39	263	6319
40	264	6188
41	265	6063
42	266	5940
43	268	5826
44	269	5715
45	270	5611
46	271	5509
47	272	5414
48	274	5323
49	275	5236
50	276	5152
51	278	5068
52	279	4988
53	280	4909
54	281	4835
55	282	4763
56	283	4695
57	284	4627
58	286	4563
59	287	4501
60	288	4444
61	289	4385
62	291	4330
63	292	4276
64	293	4222
65	294	4169
66	295	4119
67	297	4070
68	298	4023
69	299	3976
70	300	3931
71	301	3888
72	302	3847
73	304	3807
74	305	3767
75	306	3726
76	307	3686
77	308	3646
78	309	3607
79	310	3570
80	311	3533
81	312	3497
82	313	3461
83	314	3427
84	315	3393
85	316	3360
86	317	3328
87	318	3297
88	319	3266
89	320	3235
90	320	3206
91	322	3180
92	323	3153
93	324	3127
94	325	3101
95	326	3076
96	327	3051
97	328	3025
98	329	3000
99	330	2976
100	331	2954
101	333	2934
102	334	2914
103	336	2896
104	337	2878
105	338	2856
106	339	2835
107	340	2813
108	341	2792
109	342	2771
110	343	2751
111	344	2731
112	345	2711
113	346	2692
114	347	2673
115	348	2655
116	349	2636
117	350	2618
118	351	2600
119	353	2590
120	354	2574
121	355	2559
122	356	2543
123	357	2527
124	358	2510
125	359	2494
126	360	2478
127	361	2463
128	362	2447
129	363	2432
130	364	2417
131	365	2402
132	366	2388
133	367	2373
134	368	2359
135	369	2346
136	370	2332
137	371	2318
138	372	2307
139	373	2295
140	374	2283
141	375	2270
142	376	2258
143	377	2246
144	378	2234
145	380	2222
146	381	2211
147	382	2199
148	383	2188
149	384	2177
150	385	2166
151	386	2156
152	387	2145
153	388	2134
154	389	2123
155	390	2112
156	391	2102
157	392	2094
158	394	2085
159	395	2076
160	396	2067
161	397	2057
162	398	2046
163	399	2036
164	400	2027
165	401	2017
166	402	2007
167	403	1998
168	404	1988
169	405	1979
170	406	1969
171	407	1960
172	408	1951
173	409	1942
174	410	1933
175	411	1925
176	412	1916
177	413	1907
178	414	1899
179	415	1890
180	415	1882
181	416	1873
182	417	1865
183	418	1857
184	419	1849
185	420	1841
186	421	1833
187	422	1825
188	423	1817
189	424	1810
190	425	1802
191	426	1795
192	427	1787
193	428	1780
194	429	1773
195	430	1765
196	431	1758
197	432	1751
198	433	1744
199	434	1737
200	435	1730
201	436	1723
202	437	1716
203	438	1710
204	439	1703
205	440	1696
206	441	1689
207	442	1683
208	443	1676
209	443	1670
210	444	1663
211	445	1657
212	446	1650
213	447	1644
214	448	1638
215	449	1631
216	450	1625
217	451	1619
218	452	1613
219	453	1607
220	454	1603
221	455	1597
222	456	1592
223	457	1586
224	458	1580
225	459	1574
226	460	1568
227	461	1563
228	462	1557
229	463	1552
230	464	1546
231	465	1540
232	466	1535
233	467	1530
234	468	1524
235	469	1519
236	470	1514
237	471	1509
238	472	1505
239	473	1500
240	474	1495
241	475	1490
242	476	1485
243	477	1480
244	478	1475
245	479	1470
246	480	1465
247	481	1460
248	482	1455
249	483	1451
250	484	1446
251	485	1442
252	486	1437
253	487	1432
254	488	1427
255	489	1422
256	490	1418
257	491	1413
258	492	1408
259	493	1404
260	494	1399
261	495	1395
262	496	1390
263	497	1386
264	498	1381
265	499	1377
266	500	1372
267	501	1368
268	501	1364
269	502	1359
270	503	1355
271	504	1351
272	505	1346
273	506	1342
274	507	1338
275	508	1334
276	509	1330
277	510	1325
278	511	1321
279	512	1317
280	513	1313
281	514	1309
282	515	1305
283	516	1301
284	517	1297
285	518	1293
286	518	1289
287	519	1285
288	520	1281
289	521	1277
290	522	1273
291	523	1269
292	524	1265
293	525	1262
294	526	1258
295	527	1254
296	528	1250
297	529	1247
298	530	1243
299	531	1239
300	532	1236
301	533	1232
302	534	1228
303	535	1224
304	535	1221
305	536	1217
306	537	1214
307	538	1210
308	539	1207
309	540	1203
310	541	1200
311	542	1196
312	543	1193
313	544	1189
314	545	1186
315	546	1183
316	547	1180
317	549	1177
318	550	1174
319	551	1171
320	552	1168
321	553	1164
322	554	1161
323	555	1158
324	556	1155
325	557	1152
326	558	1149
327	559	1146
328	560	1143
329	561	1140
330	562	1136
331	563	1133
332	564	1130
333	565	1127
334	566	1124
335	567	1121
336	568	1118
337	569	1114
338	570	1111
339	571	1108
340	572	1105
341	573	1102
342	574	1099
343	574	1096
344	575	1093
345	577	1091
346	578	1088
347	579	1086
348	581	1083
349	582	1081
350	583	1078
351	584	1075
352	585	1072
353	586	1070
354	587	1067
355	588	1064
356	589	1061
357	590	1058
358	591	1055
359	592	1052
360	593	1049
361	594	1046
362	595	1044
363	596	1041
364	597	1038
365	598	1036
366	599	1033
367	600	1030
368	601	1027
369	602	1025
370	603	1022
371	603	1019
372	604	1016
373	605	1014
374	606	1011
375	607	1008
376	608	1005
377	609	1003
378	610	1000
379	611	997
380	612	995
381	613	992
382	614	990
383	615	987
384	616	984
385	617	982
386	618	979
387	619	976
388	620	974
389	621	971
390	622	969
391	623	966
392	624	963
393	624	961
394	625	958
395	626	956
396	627	953
397	628	951
398	629	948
399	630	946
400	631	943
401	632	941
402	633	938
403	634	936
404	635	934
405	636	931
406	637	929
407	638	926
408	639	924
409	640	921
410	641	919
411	642	916
412	643	914
413	644	911
414	645	909
415	646	907
416	647	904
417	648	902
418	649	900
419	650	897
420	651	895
421	652	893
422	653	890
423	654	888
424	654	886
425	655	883
426	657	881
427	658	879
428	659	877
